Preguntas,Respuestas
"¿Cuándo son las fechas de inscripciones, reingresos y transferencias?","Las fechas son entre septiembre, octubre y noviembre / abril, mayo y junio."
¿Qué documentos son requeridos para realizar un proceso de inscripción en la Universidad del Quindío?,"Los documentos requeridos son acta de grado y/o diploma, Pruebas Saber 11, documento de identidad."
"¿Cuál es el valor de las inscripciones, reingresos y transferencias?","Actualmente, el valor del pin es: Cancelacion de semestre en Pregrado $ 17.300. Copia en físico de Diploma de Grado $ 26.400. Derechos de Grado Posgrado / Ceremonia pública $ 526.500. Derechos de Grado Posgrado / Ceremonia ventanilla $ 344.500. Derechos de Grado Pregrado Distancia/ Ceremonia Pública $ 364.000. Derechos de Grado Pregrado Distancia/ Ceremonia Ventanilla $ 240.500. Derechos de Grado Pregrado Presencial / Ceremonia Pública $ 364.000. Derechos de Grado Pregrado Presencial / Ceremonia ventanilla $ 240.500. Duplicado carné $ 29.000. Examen de revalidación $ 107.900. Examen de validación $ 107.900. Certificados de notas y Constancias de estudio $ 16.000. Certificados de notas por semestre $ 16.000. Exámenes supletorios / habilitaciones $ 39.000. Inscripción en programa posgrado $ 208.000. Inscripción estudiante especial programa pregrado $ 23.400. Inscripción Pregrado $ 119.900. Inscripción reingreso posgrado $ 87.100. Inscripción reingreso pregado $ 49.400. Inscripción transferencia externa pregrado $ 208.000. Inscripción transferencia interna pregrado $ 198.300. Porte por correspondencia $ 12.900. Registro de Título y autenticidad de Título $ 16.000"
"Si soy admitido en la uniquindío, ¿qué valor debo cancelar por la matrícula?","El valor depende del carácter del colegio, si este es público o privado. Puedes consultar la información tentativa en el siguiente enlace https://bit.ly/3KnnR8Z"
¿Cómo aplicar o ser beneficiario de la Matrícula 0?,Según el Decreto 1667 del 07 de diciembre de 2021 los aspirantes deben cumplir con los requisitos establecidos en el mismo. En el siguiente enlace podrás encontrar información al respecto http://bit.ly/3wBcq7r
"¿Soy estudiante en continuidad, ¿Me aplica el reingreso?","El estudiante que se encuentra en continuidad académica, al encontrarse en estado INACTIVO, NO debe tramitar reingreso. Solo deberá solicitar por medio del CSU la activación en el sistema académico y, de esta manera, gestionar la matrícula financiera y académica si aplica."
"Si se vence mi tiempo de continuidad, ¿qué debo hacer?",Debes solicitar ante el Consejo de Facultad la extensión de continuidad. Son ellos los que estudian la solicitud y la respuesta es remitida a la Oficina de Admisiones y Registros.
¿En continuidad académica se aplica algún descuento o alguna exoneración?,"Según el acuerdo del Consejo Superior No.062 del 22 de junio del 2018, Artículo 8, establece no aplicar ningún tipo de descuento, beca o estímulo financiero, exoneración u apoyo económico, otorgado por la misma institución, asimismo, no podrá participar como auxiliar en ninguna convocatoria que conduzca a generar incentivos económicos."
¿Cómo sé si aplico para continuidad académica?,"Aplica para ser estudiante en continuidad académica por primera vez, cuando en el semestre inmediatamente anterior hayas cursado la asignatura que esté marcada como opción de grado dentro del plan de estudios."
¿Cómo me reporto en continuidad académica?,"Debes notificar al programa académico sobre tu situación académica. El director de programa es quien realiza el reporte ante la Oficina de Admisiones, por medio del sistema académico SAC. "
"Quiero estudiar en la uniquindío, ¿cuál es el proceso de selección?","Para conocer el proceso de selección de estudiantes nuevos a programas de pregrado, puedes ingresar al siguiente enlace http://bit.ly/30RYaaa"
Si se pasó la fecha de pago de matrícula ¿Qué debo hacer?,"Si eres un estudiante nuevo de la metodología presencial y no pagó en las fechas establecidas, pierde el cupo y éste será reasignado a la persona que sigue en el orden de la lista. "
